測站名稱,測站位置,空品區,運作日期開始,測站類別(主),測站類別(輔),縣市,鄉鎮區,地址,經緯度,東經,CO,NO2,O3,PM10,PM2.5,SO2,NHMC,AMB_TEMP,RAINFALL,RH,WD_HR,WS_HR,WIND_DIREC,WIND_SPEED,RAIN_COND,PH_RAIN,UVB,其它監測項目,細懸浮微粒手動監測,測站高度(m),採樣口高度(m),採樣口氣流角度(°),國道、省道,距離(km),一般道路,距離(m),所在鄉鎮市區人口數量(人),所在鄉鎮市區人口密度(人/平方公里),P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,SOX_fac,SOX_emi,position,distance,NOX_fac,NOX_emi,position,distance,THC_fac,THC_emi,position,distance,TSP_fac,TSP_emi,position,distance
忠明,國立臺中特殊教育學校,中部空品區,1991/7/19,一般站,-,臺中市,南屯區,臺中市南屯區公益路二段296號,北緯：24度9分7秒 東經：120度38分27.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,13,17.5,360,,,,,"176,100","5,634",237.9,1166.4,4736.9,411.8,9,10734,8350.1,10734,163.3,379.7,2428.8,12374.9,58,9.5,30.5,1.8,2.2,87.4,53.8,45.6,39.8,3.1,15.7,52.6,,,,,,,,,,,,,,,,
西屯,啟聰學校,中部空品區,1991/7/19,一般站,-,臺中市,西屯區,臺中市西屯區安和路1號,北緯：24度9分43.9秒 東經：120度37分0.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",無進行手動監測,11,15.5,360,,,,,"229,792","5,767",435,1291.1,4827.8,497.8,9.7,12147.8,8748.5,12147.8,162.4,374.9,2330.8,12513.9,71.7,9.3,30.3,2,1.6,87.9,55,48.3,26.7,2.8,14.7,49.7,,,,,,,,,,,,,,,,
彰化,延平社區活動中心,中部空品區,1991/7/19,一般站,-,彰化縣,彰化市,彰化縣彰化市文心街55號,北緯：24度3分57.6秒 東經：120度32分29.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx,CH4,THC",有進行手動監測,10,14.5,360,,,,,"226,622","3,450",211.1,894.5,2302.7,259.5,4.3,7047.3,3582.6,7047.3,64.3,147.3,346.1,10853.7,75.5,11.1,37,1.4,1.5,87.1,57.5,38.8,23,1.8,5.5,59.8,,,,,,,,,,,,,,,,
線西,線西國中,中部空品區,1991/7/19,工業站,-,彰化縣,線西鄉,彰化縣線西鄉寓埔村中央路二段145號,北緯：24度7分54秒 東經：120度28分8.6秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,11,15.5,360,,,,,"16,353",904,5686,7678.7,1404.2,1073.4,3,5237.6,2572,5237.6,49.5,108.8,585,8592.3,99.1,59,30.8,7.2,0.1,40.2,56.4,35.1,0.8,0.8,12.8,57.7,,,,,,,,,,,,,,,,
二林,萬合國小,中部空品區,1991/7/19,一般站,-,彰化縣,二林鎮,彰化縣二林鎮萬合里江山巷1號,北緯：23度55分30.6秒 東經：120度24分34.8秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,7,11.5,360,,,,,"48,693",524,427.5,540.9,567.4,108.9,1.5,2765.6,1403.5,2765.6,20.4,44.5,268.3,4598.5,95.1,16.1,25.3,1.5,0.3,82.5,62.7,37,4.6,1.4,12,61.5,,,,,,,,,,,,,,,,
南投,康壽國小,中部空品區,1991/7/19,一般站,-,南投縣,南投市,南投市南陽路269號,北緯：23度54分46.8秒 東經：120度41分7.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,,"NO,NOx,CH4,THC",有進行手動監測,12,16.5,360,,,,,"97,613","1,363",152.6,245,1293.5,188,1.8,2655.5,1774.9,2655.5,34.2,82.1,1584,4150.9,80.9,8.2,27.8,2.7,1,89,38.2,38,18.1,2.8,34,59.3,,,,,,,,,,,,,,,,
斗六,斗六高中,雲嘉南空品區,1991/7/19,一般站,-,雲林縣,斗六市,雲林縣斗六市民生路224號,北緯：23度42分42.7秒 東經：120度32分42秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx,CH4,THC",有進行手動監測,10,14.5,360,,,,,"107,598","1,148",383.2,808.1,1814.6,168,2.2,4790.3,1765.9,4790.3,23.5,46.2,1129,3839.6,93.7,14.3,38.5,1.9,0.5,84.9,37.5,54.4,5.8,0.8,24,43.7,,,,,,,,,,,,,,,,
崙背,崙背國中,雲嘉南空品區,1991/7/19,一般站,-,雲林縣,崙背鄉,雲林縣崙背鄉南陽村大成路91號,北緯：23度45分27.2秒 東經：120度20分55.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",無進行手動監測,3,3.5,360,,,,,"23,266",398,98.9,145.4,102.9,55.2,0.9,1515.3,1056.4,1515.3,17.2,33.8,1242.7,3606.7,84.5,8.6,4.3,1.1,0.8,89.4,44,29.3,14.7,2,51.7,69.6,,,,,,,,,,,,,,,,
新港,新港國小,雲嘉南空品區,1991/7/19,一般站,-,嘉義縣,新港鄉,嘉義縣新港鄉登雲路105號,北緯：23度33分17.4秒 東經：120度20分43.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,11,15.5,360,,,,,"30,472",461,420.1,893.4,1947.7,204.5,2.1,4168.4,1994.4,4168.4,26.7,54.6,454.2,3819.6,93.6,17.5,44.3,2.5,0.5,81.5,45.4,50.9,5.9,1,10.3,46.6,,,,,,,,,,,,,,,,
朴子,朴子國小,雲嘉南空品區,1991/7/19,一般站,-,嘉義縣,朴子市,嘉義縣朴子市山通路11號,北緯：23度28分1.6秒 東經：120度14分52.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx",有進行手動監測,3,3.5,360,,,,,"40,920",825,33.2,268.2,87.7,21.2,0.9,1371.8,986.7,1371.8,13.8,28.8,739.2,3408.5,69.3,16.1,4.8,0.4,1.8,82.2,54.4,28.6,28.9,1.7,40.8,71,,,,,,,,,,,,,,,,
臺西,台西國小,雲嘉南空品區,1991/7/19,工業站,-,雲林縣,臺西鄉,雲林縣台西鄉台西村民權路9號,北緯：23度42分7.8秒 東經：120度11分57.6秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,11,15.5,360,,,,,"22,322",413,849.1,3880.2,841.8,226.9,0.5,916.4,577.2,916.4,8.8,18.2,509.4,2024.2,98.9,80.6,43.7,7.2,0.1,19,29.9,28.9,1,0.4,26.4,63.9,,,,,,,,,,,,,,,,
嘉義,國立嘉義大學新民校區,雲嘉南空品區,1991/7/19,一般站,-,嘉義市,西區,嘉義市西區新民路580號,北緯：23度27分53.2秒 東經：120度26分28.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,13,17.5,360,,,,,"144,729","4,845",416.4,1305.6,2689.1,312.1,2.5,4736.3,2329.8,4736.3,39.6,78.5,203.5,4470.2,90.8,21.3,51.5,3.3,0.5,77.4,44.6,49.8,8.7,1.3,3.9,46.9,,,,,,,,,,,,,,,,
新營,新營國小,雲嘉南空品區,1991/7/19,一般站,-,臺南市,新營區,臺南市新營區中正路4號,北緯：23度18分20.3秒 東經：120度19分2.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,,"NO,NOx,CH4,THC",有進行手動監測,6,10.5,360,,,,,"74,925","1,944",336.1,429,432.7,192.9,2.1,4054.9,1697.3,4054.9,19.1,39,764.2,4797.1,94.1,9.5,15,2.1,0.6,89.7,58.6,44.8,5.3,0.8,26.4,53.1,,,,,,,,,,,,,,,,
善化,亞洲蔬菜中心,雲嘉南空品區,1991/7/19,一般站,-,臺南市,善化區,臺南市善化區益民寮60號,北緯：23度6分48.2秒 東經：120度17分50.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,0,4.5,360,,,,,"51,563",932,399.6,1485.5,4063.7,319.9,3.3,5713,2848,5713,34,65.2,2067.6,11133.3,91.5,20.5,45.3,1.9,0.8,78.7,31.7,33.3,7.7,0.8,23,64.8,,,,,,,,,,,,,,,,
安南,安順國小,雲嘉南空品區,1991/7/19,一般站,-,臺南市,安南區,臺南市安南區安和路三段193號,北緯：23度2分53.5秒 東經：120度13分3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,11,15.4,360,,,,,"197,703","1,844",312.9,704.8,4663.7,237.3,4.4,6460.4,4464,6460.4,98.5,195.4,881.3,21574.1,75.3,9.6,46.6,0.8,1.1,87.8,44.6,22.9,23.6,2.6,8.8,76.3,,,,,,,,,,,,,,,,
臺南,中山國中,雲嘉南空品區,1991/7/19,一般站,-,臺南市,中西區,臺南市中西區南寧街45號,北緯：22度59分4.48秒 東經：120度12分9.43秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,7,11.5,360,,,,,"180,053","5,740",369.1,1094.8,3881.2,236.7,4.4,6521.6,4450.6,6521.6,98.7,198.1,1034.2,20265.5,78.2,14,41.4,0.9,0.9,83.5,47.5,24.1,20.9,2.5,11.1,75,,,,,,,,,,,,,,,,
美濃,中壇國小,高屏空品區,1991/7/19,一般站,-,高雄市,美濃區,高雄市美濃區中壇里忠孝路19號,北緯：22度53分0.9秒 東經：120度31分50秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",有進行手動監測,7,11,360,,,,,"37,533",313,36.4,28.8,25.9,304.9,0.7,1045.4,874.6,1045.4,8.9,18.5,543.1,1088.1,79.1,2.6,1.8,12.5,1.5,95.7,60.6,42.9,19.4,1.7,37.6,44.6,,,,,,,,,,,,,,,,
橋頭,橋頭區公所,高屏空品區,1991/7/19,背景站,-,高雄市,橋頭區,高雄市橋頭區隆豐北路1號,北緯：22度45分27秒 東經：120度18分20.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,,"NO,NOx,CH4,THC",無進行手動監測,7,11,360,,,,,"40,138","1,548",1190.2,3588.2,4453.1,693.4,4.5,6805.4,5681.4,6805.4,66.1,138.1,5668.2,4080.7,94.4,34.1,28.2,6,0.4,64.6,36,58.8,5.2,1.3,35.8,35.2,,,,,,,,,,,,,,,,
仁武,八卦國小,高屏空品區,1991/7/19,一般站,-,高雄市,仁武區,高雄市仁武區八卦里永仁街555號,北緯：22度41分20.6秒 東經：120度19分57.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,9,13.5,360,,,,,"94,465","2,618",1170.7,3564.5,3916.8,581,6.3,9047.8,8578,9047.8,149.3,318.7,2954.1,7317.5,88.3,27.6,25.4,3.4,0.5,70,55.5,53.4,11.2,2.4,19.1,43.2,,,,,,,,,,,,,,,,
鳳山,曹公國小,高屏空品區,1991/7/19,交通站,-,高雄市,鳳山區,高雄市鳳山區曹公路6號,北緯：22度37分41.3秒 東經：120度21分26.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",無進行手動監測,2.5,2.5,360,,,,,"355,490","13,285",7304.6,10340.2,5133,2594.8,6.5,9126.9,9172,9126.9,159.9,342.4,729.5,8646,97.8,52.2,34.1,12.7,0.1,46.1,61,44.8,2.1,1.7,4.9,42.5,,,,,,,,,,,,,,,,
大寮,潮寮國小,高屏空品區,1991/7/19,一般站,-,高雄市,大寮區,高雄市大寮區潮寮路61號,北緯：22度33分50.9秒 東經：120度25分31.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,12,15.5,360,,,,,"111,384","1,568",9209.3,14468.7,7038.9,3335.1,4.4,6083.3,5939.4,6083.3,95.3,203,2245.7,6811,98.9,69.7,46.2,20.5,0,29.3,39,37.5,1.1,1,14.8,42,,,,,,,,,,,,,,,,
林園,汕尾國小,高屏空品區,1991/7/19,一般站,-,高雄市,林園區,高雄市林園區北汕路58巷2號,北緯：22度28分46.2秒 東經：120度24分42.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,3,8,360,,,,,"68,528","2,123",8805.6,13474.7,5490.6,3138.7,1.1,1500,1634.4,1500,19.5,40.1,1620.6,1886.2,99.8,89.7,62.8,48.1,0,10,18.7,23,0.2,0.3,18.5,28.9,,,,,,,,,,,,,,,,
楠梓,楠梓國小,高屏空品區,1991/7/19,一般站,-,高雄市,楠梓區,高雄市楠梓區楠梓路262號,北緯：22度44分1.2秒 東經：120度19分41.8秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,15,18,360,,,,,"190,096","7,360",1268.4,3445.3,4819,644,5.5,8045.6,7175.6,8045.6,106,222.2,3792.6,5798.5,91.9,29.4,30.5,4.4,0.4,68.7,45.5,55.5,7.7,1.9,24,40.1,,,,,,,,,,,,,,,,
左營,大義國中,高屏空品區,2010/1/26,一般站,-,高雄市,左營區,高雄市左營區翠華路687號,北緯：22度40分29.5秒 東經：120度17分34.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,15,19,360,,,,,"194,376","10,029",1018.5,3255.9,3530,457.1,6.2,8915.7,8473.1,8915.7,153.4,327.3,2919.3,7663.1,86.5,26,23.7,2.7,0.5,71.3,56.8,52.3,13,2.7,19.5,45,,,,,,,,,,,,,,,,
前金,河濱國小,高屏空品區,1991/7/19,一般站,-,高雄市,三民區,高雄市三民區市中一路339號,北緯：22度38分2.1秒 東經：120度17分12.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,14,17,360,,,,,"329,948","16,675",6874.4,9264.2,4009.7,2318.9,5.3,7597,7531.4,7597,144.8,309.2,130.1,6908.9,97.9,54,34.4,13.8,0.1,44.2,64.5,45.2,2,1.8,1.1,41,,,,,,,,,,,,,,,,
前鎮,獅甲國中,高屏空品區,1991/7/19,工業站,-,高雄市,前鎮區,高雄市前鎮區中山三路43號,北緯：22度36分19.4秒 東經：120度18分27.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,8,12.5,360,,,,,"180,437","9,437",8447.7,12370.2,5545.2,3079.7,5.2,7344.9,7569.8,7344.9,144.8,311.1,2143.6,7136.7,98.3,61.8,36.3,17.5,0.1,36.7,49.6,41.8,1.6,1.5,14.1,40.7,,,,,,,,,,,,,,,,
小港,小港國中,高屏空品區,1991/7/19,一般站,-,高雄市,小港區,高雄市小港區平和南路185號,北緯：22度33分57秒 東經：120度20分15.8秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",無進行手動監測,15,19.5,360,,,,,"154,693","3,404",9046.8,14738.8,7102.2,3273.9,4.5,6224.1,6630,6224.1,120.4,258.3,2085.7,6687.5,98.6,69.5,44.9,20.2,0,29.3,41.9,38.5,1.4,1.2,13.2,41.3,,,,,,,,,,,,,,,,
屏東,中正國小,高屏空品區,1991/7/19,一般站,-,屏東縣,屏東市,屏東市蘇州街75號,北緯：22度40分23.1秒 東經：120度29分16.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx,CH4,THC",有進行手動監測,10,14.5,360,,,,,"193,872","2,980",246.1,401.7,969.7,217.6,2.5,3627.6,3050.8,3627.6,39.8,79.7,421.3,4260.7,85.3,9.8,21.8,2.7,0.9,88.3,68.7,44.8,13.8,1.9,9.5,52.5,,,,,,,,,,,,,,,,
潮州,潮東國小,高屏空品區,1991/7/19,一般站,-,屏東縣,潮州鎮,屏東縣潮州鎮九塊里復興路66號,北緯：22度31分23.2秒 東經：120度33分40.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,7,11,360,,,,,"53,125","1,252",60,215.6,138.3,58.4,1.5,2222.9,1627.3,2222.9,20,39.4,1545.1,2682.9,73.7,8.7,4.2,1.2,1.8,89.7,49.2,44.8,24.5,1.6,46.6,54,,,,,,,,,,,,,,,,
恆春,畜牧試驗所,高屏空品區,1991/7/19,一般站,公園站,屏東縣,恆春鎮,屏東縣恆春鎮公園路44號,北緯：21度57分29秒 東經：120度47分20.1秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx",有進行手動監測,0,4.5,360,,,,,"29,870",218,2.7,15.2,2.4,5.5,0.2,233.6,214.7,233.6,3.1,6.3,970.4,429,45.4,6,0.2,0.8,2.8,91.6,18.1,35,51.8,2.4,81.7,64.2,,,,,,,,,,,,,,,,
臺東,臺東縣政府,花東空品區,1991/7/19,一般站,-,臺東縣,台東市,臺東市中山路276號,北緯：22度45分19.3秒 東經：121度9分1.6秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",有進行手動監測,9,13,360,,,,,"103,286",941,99.4,112.3,24.1,206.9,0.5,731.2,582.1,731.2,8.7,15.6,217.8,1573.1,91.6,13.1,2.9,8.2,0.5,85.1,70.6,29.1,7.9,1.8,26.5,62.7,,,,,,,,,,,,,,,,
花蓮,中正國小,花東空品區,1991/7/19,一般站,-,花蓮縣,花蓮市,花蓮市中正路210號,北緯：23度58分16.7秒 東經：121度35分59.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx,CH4,THC",有進行手動監測,11,14.5,360,,,,,"99,691","3,390",357.8,399.1,215.3,199.9,0.7,981.2,787.6,981.2,16.5,29.9,1039.2,884.8,95.4,28.3,10.5,9.7,0.2,69.6,38.6,47.5,4.4,2.1,50.9,42.8,,,,,,,,,,,,,,,,
陽明,陽明山鞍部氣象站,北部空品區,1991/7/19,公園站,-,臺北市,北投區,臺北市北投區竹子湖路111號,北緯：25度10分57.8秒 東經：121度31分46.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,-,-,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx",有進行手動監測,0,4.5,360,,,,,"239,790","4,220",89.4,636.4,191.3,81.5,2.4,1860.6,2679.6,1860.6,58.7,129.7,100.1,3361.9,59.4,24.2,6.4,1.5,1.6,70.8,90.2,35.1,39,5,3.4,63.4,,,,,,,,,,,,,,,,
宜蘭,復興國中,宜蘭空品區,2007/12/1,一般站,-,宜蘭縣,宜蘭市,宜蘭縣宜蘭市復興路二段77號,北緯：24度44分52.5秒 東經：121度44分47秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"CO2,NO,NOx,CH4,THC",有進行手動監測,14,18.5,360,,,,,"94,516","3,214",72,68.4,114.3,321.8,1.5,1916.1,1344.1,1916.1,26.7,47.2,510.1,1881.1,71.9,3.4,5.8,7.8,1.5,94.3,68.3,46.5,26.6,2.3,25.9,45.7,,,,,,,,,,,,,,,,
冬山,冬山國中,宜蘭空品區,1991/7/19,一般站,-,宜蘭縣,冬山鄉,宜蘭縣冬山鄉南興村照安路26號,北緯：24度37分55.9秒 東經：121度47分34.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx",無進行手動監測,10,14.5,360,,,,,"52,752",661,435.8,4204,821.9,1021.7,1,1279.5,904.5,1279.5,17.2,30.1,818.8,1388,96,76.2,32.3,27.7,0.2,23.2,35.5,34.7,3.8,0.6,32.2,37.6,,,,,,,,,,,,,,,,
