測站名稱,測站位置,空品區,運作日期開始,測站類別(主),測站類別(輔),縣市,鄉鎮區,地址,經緯度,東經,CO,NO2,O3,PM10,PM2.5,SO2,NHMC,AMB_TEMP,RAINFALL,RH,WD_HR,WS_HR,WIND_DIREC,WIND_SPEED,RAIN_COND,PH_RAIN,UVB,其它監測項目,細懸浮微粒手動監測,測站高度(m),採樣口高度(m),採樣口氣流角度(°),國道、省道,距離(km),一般道路,距離(m),所在鄉鎮市區人口數量(人),所在鄉鎮市區人口密度(人/平方公里),P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,SOX_fac,SOX_emi,position,distance,NOX_fac,NOX_emi,position,distance,THC_fac,THC_emi,position,distance,TSP_fac,TSP_emi,position,distance
士林,中正高中,北部空品區,1991/7/18,一般站,-,臺北市,北投區,臺北市北投區文林北路77號,北緯：25度6分12秒 東經：121度30分60秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",有進行手動監測,20,24,360,,,,,"239,790","4,220",157,932.6,968.6,166.8,10.9,8883.4,11252,8883.4,301.2,630.8,83.7,13656.5,33.5,8.9,7.9,0.7,2.3,85,91.4,39.1,64.2,6.1,0.7,60.2,,,,,,,,,,,,,,,,
中山,新興國中,北部空品區,1991/7/18,一般站,-,臺北市,中山區,臺北市中山區林森北路511號,北緯：25度3分44.5秒 東經：121度31分35.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,16,20.5,360,,,,,"210,000","15,349",221.3,1216.8,1929,227.8,13.3,11013.1,13416.6,11013.1,390.5,820,5118.4,16581.3,35.4,9.3,9.4,0.8,2.1,84.4,65.6,39.6,62.5,6.3,25,59.6,,,,,,,,,,,,,,,,
萬華,福星國小,北部空品區,1991/7/18,一般站,-,臺北市,萬華區,臺北市萬華區中華路1段66號,北緯：25度2分47.4秒 東經：121度30分28.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,15,19.5,360,,,,,"172,832","19,524",565.3,1861.8,2632.9,290.7,13.7,11484.1,13679.7,11484.1,397.8,837.7,2320.4,16904.8,57.9,13.1,14.1,1,1.4,81,73.4,40,40.7,5.9,12.5,59,,,,,,,,,,,,,,,,
古亭,古亭國小,北部空品區,1991/7/18,一般站,-,臺北市,大安區,臺北市大安區羅斯福路三段153號,北緯：25度1分14.2秒 東經：121度31分46.4秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,15,19.5,360,,,,,"280,696","24,706",238,822.7,2262.9,178.6,13.1,10992.7,13065.5,10992.7,376.6,793.7,5121,16023.7,37.9,6.5,11.1,0.7,2.1,87.2,63.9,40.4,60,6.3,25,58.9,,,,,,,,,,,,,,,,
松山,松山國小,北部空品區,1991/7/18,一般站,-,臺北市,松山區,臺北市松山區八德路四段746號,北緯：25度3分0秒 東經：121度34分43秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,15,19.5,360,,,,,"187,940","20,235",135.4,1200.6,1117.2,204.4,10.4,8578.4,10523.2,8578.4,288.4,605.7,5131.2,11719.2,31.2,11.6,6.7,1,2.4,82.6,62.7,41.8,66.4,5.8,30.6,57.2,,,,,,,,,,,,,,,,
大同,重慶北路與民權西路交叉口,北部空品區,2010/8/17,交通站,-,臺北市,大同區,臺北市大同區重慶北路三段2號,北緯：25度3分47.5秒 東經：121度30分47.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,-,Ogasawara us-760S,Metone 083D,-,-,-,-,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,1,6.5,180,,,,,"118,164","20,798",474.6,1609.8,2426,254.8,13.5,11223.7,13584.8,11223.7,397.1,835.4,2314.3,16874.4,53.6,11.8,13.2,0.9,1.5,82.1,74.1,39.6,44.9,6.1,12.7,59.5,,,,,,,,,,,,,,,,
桃園,桃園市西門國小,北部空品區,1991/7/19,一般站,-,桃園市,桃園區,桃園市桃園區莒光街15號,北緯：24度59分12.4秒 東經：121度18分31.4秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,,"NO,NOx,CH4,THC",有進行手動監測,10,14.5,360,,,,,"458,458","13,172",2047.8,4774.8,9439.8,1015.1,8.8,9779.8,6403.5,9779.8,147.3,315.5,1232.7,13095.2,92.9,32.1,55.3,4.2,0.4,65.8,37.5,40.9,6.7,2.1,7.2,54.9,,,,,,,,,,,,,,,,
大園,大園國小,北部空品區,1991/7/19,一般站,-,桃園市,大園區,桃園市大園區中正東路160號,北緯：25度3分37.2秒 東經：121度12分6.5秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,12,16.5,360,,,,,"86,775",993,2336.1,4154.6,7579.1,1175.3,4.6,5390.6,3172.7,5390.6,58.2,125,432.5,8716.2,97.4,43,67.8,7.7,0.2,55.7,28.4,35.3,2.4,1.3,3.8,57,,,,,,,,,,,,,,,,
觀音,觀音國小,北部空品區,1991/7/19,背景站,-,桃園市,觀音區,桃園市觀音區文化路2號,北緯：25度2分7.8秒 東經：121度4分57.9秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx",無進行手動監測,10,14.5,360,,,,,"71,790",816,1309,6571.2,4464.2,744.2,1.8,2001,1475.8,2001,16.7,36.7,329.7,4746.3,98.6,76.3,71.2,9.9,0.1,23.2,23.5,26.7,1.3,0.5,5.3,63.4,,,,,,,,,,,,,,,,
平鎮,平鎮區復興復旦里集會所,北部空品區,1991/7/19,一般站,-,桃園市,平鎮區,324桃園市平鎮區復興街55號,北緯：24度57分10秒 東經：121度12分14.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",有進行手動監測,11,15.5,360,,,,,"227,099","4,756",954.1,1767.5,10299.9,472,6.8,8079.6,4566.7,8079.6,108.1,231.7,895.2,11834.5,89.2,17.5,65.3,2.3,0.6,80.2,29,39.6,10.2,2.3,5.7,58.1,,,,,,,,,,,,,,,,
